市场,代码,简称,退市年份,备注
沪市主板,600275,退市昌鱼,2022,财务类退市
沪市主板,600277,ST亿利,2024,面值退市
沪市主板,600286,银化3,2005,财务类退市
沪市主板,600290,*ST华仪,2024,面值退市
沪市主板,600306,退市商城,2024,财务类退市
沪市主板,600355,*ST精伦,2026,重大违法
沪市主板,600385,退市金泰,2022,财务类退市
沪市主板,600393,粤泰,2023,面值退市
沪市主板,600401,退市海润,2019,面值退市
沪市主板,600421,*ST华嵘,2026,财务类退市
沪市主板,600432,退市吉恩,2018,财务类退市
沪市主板,600466,蓝光发展,2023,面值退市
沪市主板,600503,海沪退,2023,面值退市（原华丽家族？需核实）
沪市主板,600532,退市未来,2023,财务类退市
沪市主板,600555,退市海创,2022,财务类退市
沪市主板,600591,*ST上航,2010,吸收合并
沪市主板,600599,*ST熊猫,2026,财务类退市
沪市主板,600607,上实医药,2010,吸收合并
沪市主板,600608,*ST沪科,2026,财务类退市
沪市主板,600625,水仙A3,2005,财务类退市
沪市主板,600631,百联股份,2011,吸收合并
沪市主板,600636,*ST国化,2026,财务类退市
沪市主板,600646,国嘉1,2003,财务类退市
沪市主板,600647,*ST同达,2024,财务类退市
沪市主板,600652,退市游久,2022,财务类退市
沪市主板,600656,退市博元,2016,重大违法
沪市主板,600659,*ST花雕,2006,财务类退市
沪市主板,600669,鞍合成1,2005,财务类退市
沪市主板,600670,斯达3,2005,财务类退市
沪市主板,600672,华圣1,2005,财务类退市
沪市主板,600687,退市刚泰,2021,面值退市
沪市主板,600696,*ST岩石,2026,财务类退市
沪市主板,600700,数码3,2005,财务类退市
沪市主板,600705,中航产融,2025,主动退市
沪市主板,600709,海洋3,2005,财务类退市
沪市主板,600747,退市大控,2019,面值退市
沪市主板,600752,哈慈1,2005,财务类退市
沪市主板,600762,金荔1,2005,财务类退市
沪市主板,600766,退市园城,2024,财务类退市
沪市主板,600772,龙昌1,2005,财务类退市
沪市主板,600781,退市辅仁,2023,财务类退市
沪市主板,600788,达尔曼1,2005,财务类退市
沪市主板,600799,龙科1,2005,财务类退市
沪市主板,600806,退市昆机,2018,财务类退市
沪市主板,600811,*ST东方,2025,面值退市
沪市主板,600813,鞍一工3,2005,财务类退市
沪市主板,600819,九州1,2005,财务类退市
沪市主板,600836,*ST易连,2024,面值退市
沪市主板,600837,海通证券,2025,主动退市
沪市主板,600842,中西药业,2010,吸收合并
沪市主板,600852,中川3,2005,财务类退市
沪市主板,600856,退市中天,2022,财务类退市
沪市主板,600878,北科1,2005,财务类退市
沪市主板,600890,退市中房,2022,财务类退市
沪市主板,600896,退市海医,2022,财务类退市
沪市主板,600898,*ST美讯,2025,市值退市
沪市主板,600899,信联1,2005,财务类退市
沪市主板,600991,广汽长丰,2012,吸收合并
沪市主板,601028,玉龙股份,2025,主动退市
沪市主板,601258,庞大集团,2023,面值退市
沪市主板,601268,*ST二重,2015,主动退市
沪市主板,601558,退市锐电,2020,面值退市
沪市主板,601989,中国重工,2025,吸收合并
沪市主板,603056,德邦股份,2026,主动退市
沪市主板,603133,*ST碳元,2024,财务类退市
沪市主板,603555,ST贵人,2024,面值退市
沪市主板,603603,退市博天,2024,重大违法
沪市主板,603963,*ST大药,2025,市值退市
科创板,688086,退市紫晶,2023,重大违法
科创板,688287,*ST观典,2026,财务类退市
科创板,688555,退市泽达,2023,重大违法
北交所,920305,*ST云创,2026,财务类退市
北交所,920680,广道退,2026,重大违法
B股（深）,200015,中浩B3,2005,财务类退市
B股（深）,200041,ST本实B,2009,财务类退市
B股（深）,200057,大洋B1,2005,财务类退市
B股（沪）,900931,水仙B3,2005,财务类退市
B股（沪）,900951,退市大化B,2020,财务类退市
